report_id,facility_type,region,inspection_report,co_risk_level
RPT-0411,Chemical refinery,East,Site 411: Chemical refinery outlet CO 13 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0412,Power station,East,RPT-0412: Power station intermittent CO spikes to 42 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0413,Cement plant,North,Site 413: Cement plant outlet CO 15 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0414,Steel mill,Central,CRITICAL RPT-0414: Steel mill CO peaked at 164 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0415,Foundry,Central,Site 415: Foundry outlet CO 17 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0416,Chemical refinery,East,RPT-0416: Chemical refinery intermittent CO spikes to 46 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0417,Cement plant,East,Emergency 417: Cement plant reading 167 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0418,Foundry,North,Inspection RPT-0418: Foundry stack CO averaged 12 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0419,Chemical refinery,East,Audit 419 at Chemical refinery: CO reached 49 ppm when secondary burner cycled. Filters overdue by 4 weeks.,Medium
RPT-0420,Foundry,South,RPT-0420: Foundry intermittent CO spikes to 35 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0421,Steel mill,North,Audit 421 at Steel mill: CO reached 36 ppm when secondary burner cycled. Filters overdue by 6 weeks.,Medium
RPT-0422,Steel mill,North,Inspection RPT-0422: Steel mill stack CO averaged 16 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0423,Power station,Central,Site 423: Power station outlet CO 17 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0424,Foundry,West,RPT-0424: Foundry intermittent CO spikes to 39 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0425,Foundry,East,Site 425: Foundry outlet CO 11 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0426,Cement plant,Central,RPT-0426: Cement plant intermittent CO spikes to 41 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0427,Steel mill,West,Emergency 427: Steel mill reading 177 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0428,Foundry,West,Inspection RPT-0428: Foundry stack CO averaged 14 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0429,Steel mill,West,Audit 429 at Steel mill: CO reached 44 ppm when secondary burner cycled. Filters overdue by 6 weeks.,Medium
RPT-0430,Power station,South,Inspection RPT-0430: Power station stack CO averaged 16 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0431,Cement plant,Central,Emergency 431: Cement plant reading 181 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0432,Chemical refinery,West,CRITICAL RPT-0432: Chemical refinery CO peaked at 182 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0433,Cement plant,East,Audit 433 at Cement plant: CO reached 48 ppm when secondary burner cycled. Filters overdue by 2 weeks.,Medium
RPT-0434,Chemical refinery,North,RPT-0434: Chemical refinery intermittent CO spikes to 49 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0435,Steel mill,East,Audit 435 at Steel mill: CO reached 35 ppm when secondary burner cycled. Filters overdue by 4 weeks.,Medium
RPT-0436,Power station,South,RPT-0436: Power station intermittent CO spikes to 36 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0437,Chemical refinery,Central,Emergency 437: Chemical refinery reading 187 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0438,Foundry,North,Inspection RPT-0438: Foundry stack CO averaged 16 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0439,Power station,North,Emergency 439: Power station reading 189 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0440,Chemical refinery,North,RPT-0440: Chemical refinery intermittent CO spikes to 40 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0441,Chemical refinery,West,Audit 441 at Chemical refinery: CO reached 41 ppm when secondary burner cycled. Filters overdue by 2 weeks.,Medium
RPT-0442,Foundry,Central,RPT-0442: Foundry intermittent CO spikes to 42 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0443,Cement plant,West,Audit 443 at Cement plant: CO reached 43 ppm when secondary burner cycled. Filters overdue by 4 weeks.,Medium
RPT-0444,Power station,South,Inspection RPT-0444: Power station stack CO averaged 14 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0445,Foundry,West,Audit 445 at Foundry: CO reached 45 ppm when secondary burner cycled. Filters overdue by 6 weeks.,Medium
RPT-0446,Foundry,Central,CRITICAL RPT-0446: Foundry CO peaked at 196 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0447,Cement plant,North,Site 447: Cement plant outlet CO 17 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0448,Foundry,North,CRITICAL RPT-0448: Foundry CO peaked at 198 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0449,Foundry,East,Audit 449 at Foundry: CO reached 49 ppm when secondary burner cycled. Filters overdue by 2 weeks.,Medium
RPT-0450,Foundry,West,Inspection RPT-0450: Foundry stack CO averaged 12 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
